idx,value1,value2,value3,value4,value5,value6,value7,value8
0,0.8987447957900543,0.9803526405075038,0.8121929836860887,0.9227908573797893,0.8781150429365014,0.9108936806680793,1.1078646806218373,0.32629788070085597
1,1.0153181222652627,0.986104775769836,0.7724219533227238,0.977620664187517,0.88236502551854,0.9108936806680793,1.1055484806222144,0.41085152163586414
2,1.117638116642062,0.9857561615115129,0.7523622221131668,0.99326003861254,0.9822744521192507,0.9197432381902032,1.112639074695631,1.0186067868423696
3,1.1861437456994215,0.9922055252904914,0.8013915899578656,0.9890282078857691,0.9622786324299871,0.9153184594291413,1.1562427124121424,1.0444120846605438
4,1.1227976835861284,0.9913339896446836,0.8910381803013201,1.004207600710056,0.9719630189693866,0.9197432381902032,1.1214917020220896,1.0648048974695656
5,1.0137088270683883,1.0026639530401864,1.0132382798533361,0.9847043808388509,0.9814383899719644,0.9263804063317961,1.1003881519591792,1.080537397627364
6,1.0062369605967645,0.9939485965821072,1.1182158806497522,0.9704449512160359,0.932180395127681,0.9330175744733891,1.1473211956711478,1.0749039948627361
7,0.9856774352085672,1.0068473241400644,1.2053238945870344,0.9975838656594581,0.9316926922084307,0.9905396983671944,1.0782971749275658,1.0535696516196635
8,1.0680983651283085,0.9997007318444395,1.2284199622824052,0.9861763219612061,0.9395656107620431,1.0369998753583447,1.1185623128133182,1.0318776320105827
9,1.0067662851919883,0.9956916678737231,1.225532953820484,0.9725608665794213,0.9651351780998819,1.0746104948273714,1.1216567730416152,0.9811822670754905
10,1.022070662491889,0.9948201322279152,1.214731560092261,0.9891202042059163,1.0455364879305793,1.0723981054468403,1.076325549183328,0.9443731610560075
11,0.8987447957900543,0.9939485965821072,1.2199580409284978,0.9878322557238556,1.028536557602425,1.0458494328804686,1.0192975730730864,0.9276307511588922
12,0.9382095630682605,0.992379832419653,1.2090073191763824,0.9941800018140119,1.0309750721986766,0.9529290788981678,1.0117997785765647,0.8940670321662771
13,0.9212732566658387,0.9871506185448056,1.2024866621330772,0.9812085206732576,1.0046391145591587,0.9374423532344509,0.9734333909538071,0.872322413091607
14,0.979233125345574,0.9939485965821072,1.2096046312719524,1.0905921453282714,1.0411471616573265,0.9330175744733891,0.9769816769674579,0.864111636513097
15,1.0103791801911757,0.9941229037112689,1.1890471399827538,1.0869122925223835,0.9969752115423679,0.9153184594291413,1.0057843136821734,0.8628019098199202
16,1.0454405864055736,0.9979576605528236,1.2029844222127188,1.109819376239035,0.9956514464758313,0.9197432381902032,1.0432475920942477,0.8780873145202084
17,0.9920124594852964,1.0002236532319242,1.1941740688030622,1.0592214001580782,0.9302295834506797,0.9175308488096722,0.9931652186251672,0.8865347886938708
18,0.9500612997996998,0.9913339896446836,1.175906273880215,1.0969398914184278,0.8956723480295133,0.9861149196061324,1.0654482312522964,0.9128503013282625
19,1.0119582960191478,0.9894166112239061,1.176752466015606,1.0948239760550422,0.903963297656769,1.0369998753583447,1.1071335015995853,0.9246588813530894
20,1.0232864583765402,0.9859304686406745,1.1504707338105287,1.0715489070578021,0.9015944549061246,0.9374423532344509,1.0149294714464938,0.9432107128664812
21,0.9586343260434487,0.9820957117991196,1.0816305147960936,1.0708129364966246,0.9007583927588383,0.9197432381902032,1.017469923219523,0.9746494134492832
22,1.031903543874329,0.9824443260574428,0.9843681952341226,1.0470778858986485,0.9249345231845333,0.9153184594291413,1.0357911921504852,0.9723034772839947
23,1.1589175202022812,0.9817470975407965,0.8850650593456207,1.0717328996980966,0.9463934516315478,0.9241680169512652,1.060848296618094,0.9852376858724354
24,0.9557254734923109,0.9826186331866044,0.840067548146019,1.0906841416484185,0.9881268871502547,0.9175308488096722,1.05830342625301,1.0103065911723577
25,1.032601555137856,0.9892423040947446,0.7849157313217283,1.1416501030099642,0.9829014987297154,0.9263804063317961,1.0999753361379112,1.0098279360354938
26,1.0059307024477881,0.9876735399322902,0.7633129438652824,1.1152471591277193,0.9965571804687247,0.9197432381902032,1.1134966062982257,1.0371428385160846
27,1.0232237239327866,0.984013090219897,0.7685892007094834,1.0978598546198997,0.9769097200074971,0.9263804063317961,1.1220325626680479,1.047720591046119
28,1.0278946224314784,0.9847103187365434,0.8131387278374078,1.1021836816668178,0.9353853000256118,0.9197432381902032,1.0739677762721063,1.0623222026937447
29,0.9708609133878904,0.9897652254822292,0.9168221524267557,1.033554426837011,0.954893416795625,0.9241680169512652,1.1171099999868503,1.0888165535111403
30,0.9933022788984961,0.9939485965821072,1.0707793450599066,1.159129403837931,0.9512704808240511,0.9108936806680793,1.0960377077502013,1.087459487298933
31,1.0146657353839896,0.9916826039030067,1.1829246910031619,1.2229748500200837,0.9440942807265106,0.9197432381902032,1.1130100625073824,1.0818523842670997
32,1.0188389897085757,0.990288146869714,1.2526608781609518,1.1023676743071122,0.9927949008059365,0.9197432381902032,1.1206125790013273,1.053616991138694
33,0.9198824520785991,0.9904624539988756,1.254602142471554,1.0693409953742696,0.9999711009034771,0.9197432381902032,1.0055654481307685,0.9993553824366384
34,0.9471447134460749,0.9899395326113909,1.2442985088229728,1.0867282998820893,1.0605159347361253,0.9153184594291413,1.0361890075902054,0.9629092127297226
35,0.9806856368038411,0.9892423040947446,1.2122925357020171,1.0486418233411507,1.01724971861406,0.9197432381902032,1.0031044539767446,0.9275886715864207
36,0.9373998258827031,0.9911596825155219,1.18362155511466,1.094180001814012,0.9854096851715742,0.9197432381902032,0.9359948763195574,0.8896591969498829
37,1.019974610191944,0.9916826039030067,1.171277105139548,1.0863603146015004,0.9949547280197594,0.9396547426149819,0.9780546712325198,0.8859141149999156
38,0.9872804208010592,0.9925541395488146,1.1584348950847945,1.0903161563678299,0.942073797203902,0.9374423532344509,0.9643533570159127,0.8647270502604933
39,0.9428116901605498,0.9929027538071378,1.1416603804008723,1.0008957331847572,0.9206845406024946,0.9418671319955129,1.010323406021666,0.8640905967268612
40,1.012531399692078,0.9918569110321682,1.125284073780663,0.9633612345647019,0.9362910340185052,0.9462919107565748,1.0572488695295337,0.8803280517543182
